id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
E57,found something,Are they also the ones industry pays the most?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,2,,,Y,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER.RNDRNG_NPI | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER.RNDRNG_PRVDR_LAST_ORG_NAME | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER.RNDRNG_PRVDR_STATE_FIPS | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER.RNDRNG_PRVDR_ZIP5 | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
E58,nothing there,Do states with more malpractice payouts also get more industry money?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_NPDB | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,3,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI
E59,nothing there,Do they have the worst quality ratings?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL,2,,,Y,HEALTH__FED_CMS_HOSPITAL_GENERAL.CCN | HEALTH__FED_CMS_HOSPITAL_GENERAL.FACILITY_NAME | HEALTH__FED_CMS_HOSPITAL_GENERAL.TELEPHONE_NUMBER | HEALTH__FED_CMS_HOSPITAL_GENERAL.ZIP_CODE | HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER.RNDRNG_PRVDR_CCN | HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER.RNDRNG_PRVDR_ORG_NAME | HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER.RNDRNG_PRVDR_STATE_FIPS | HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER.RNDRNG_PRVDR_ZIP5
E60,found a little,Do they die at a higher rate?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,2,,,Y,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.FACILITY_ID | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID | HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.CCN | HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI
E61,found a little,Do they also have worse finances?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS,2,,,Y,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.ID_NUMBER | HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE
E62,found something,Are they still getting cited for missing sprinkler systems?,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,2,,,Y,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
E63,found a little,Does patient harm go up when leadership keeps turning over?,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,2,,,Y,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
E64,found a little,Does the money keep flowing to them anyway?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,1,FED_USASPENDING_ASSISTANCE_FULL,,N,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_EIN | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_NAME | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_UEI | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_ZIP
E65,nothing there,Were they still getting paid after losing it?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_REVOCATION | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,1,FED_USASPENDING_ASSISTANCE_FULL,,N,ECONOMICS__FED_IRS_REVOCATION.EIN | ECONOMICS__FED_IRS_REVOCATION.LEGAL_NAME | ECONOMICS__FED_IRS_REVOCATION.SPINE_ENTITY_ID | ECONOMICS__FED_IRS_REVOCATION.ZIP_CODE
E66,nothing there,Are they still getting health grants?,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,1,FED_USASPENDING_ASSISTANCE_FULL,,N,PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
E67,nothing there,Do they also have fewer doctors available?,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES,2,,,Y,HEALTH__FED_CMS_NPPES.NPI | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS
E68,found something,Do they give very little free care to the poor despite huge profits?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS,1,,,single,HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE
E69,part done,How much grant money reaches each patient?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,2,FED_USASPENDING_ASSISTANCE_FULL,,Y,HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO.BHCMISID
E70,nothing there,Are the worst-rated homes still getting VA contracts?,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
E71,found a little,Does more payment per person mean more opioid prescribing?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,2,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_LAST_ORG_NAME | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_ZIP5
E72,nothing there,Is it sitting empty more than in safer counties?,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,2,,,Y,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.NAME | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5
E73,found something,Do banned contractors turn out to also be doctors?,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES,2,,,Y,HEALTH__FED_CMS_NPPES.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
E74,part done,Is there a record of who the new owner is?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_OWNERS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH,3,,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATE_ID [8933] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ENROLLMENT_ID [11224] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.NPI [11184] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID [8933] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ENROLLMENT_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID [11224] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.NPI = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI [11184],N,HEALTH__FED_CMS_HOME_HEALTH.CCN | HEALTH__FED_CMS_HOME_HEALTH.PROVIDER_NAME | HEALTH__FED_CMS_HOME_HEALTH.TELEPHONE_NUMBER | HEALTH__FED_CMS_HOME_HEALTH.ZIP_CODE | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.CCN | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ORGANIZATION_NAME | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ZIP_CODE | HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATE_ID | HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ENROLLMENT_ID | HEALTH__FED_CMS_HOME_HEALTH_OWNERS.NPI
E75,found something,Did the worst chains get big pandemic bailout money?,LIBRARY_RAW.LANDING.FED_HRSA_PROVIDER_RELIEF_FUND | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND | LIBRARY_MARTS.HEALTH.HEALTH__NURSING_HOME_RELIEF_BY_CHAIN | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,3,FED_HRSA_PROVIDER_RELIEF_FUND,HEALTH__FED_NURSINGHOME411.CHAIN_ID = HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_ID [617] ; HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_ID = HEALTH__FED_NURSINGHOME411.CHAIN_ID [617],N,HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY | HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_ID
