table	column	check	result	severity	proposed_fix
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIMARY_PLACE_OF_PERFORMANCE_STATE_NAME	C2 name tag holds something else	places; org words 3.4%, people 0.0%; e.g. ['NORTH DAKOTA', 'MASSACHUSETTS', 'GUAM']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	EPA_DESIGNATED_PRODUCT_CODE	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['A', 'E']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	EPA_DESIGNATED_PRODUCT	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['MEETS REQUIREMENTS', 'NOT REQUIRED']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	NATIVE_HAWAIIAN_ORGANIZATION_OWNED_FIRM	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	US_STATE_GOVERNMENT	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['f', 't']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	INTERNATIONAL_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	FOR_PROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	NONPROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f', 't']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	OTHER_NOT_FOR_PROFIT_ORGANIZATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['f']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	STATE_CONTROLLED_INSTITUTION_OF_HIGHER_LEARNING	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['f', 't']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_CITY_NAME	C2 name tag holds something else	places; org words 1.6%, people 0.0%; e.g. ['MELVILLE', 'DANIA', 'SAN FRANCISCO']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_STATE_CODE	C2 name tag holds something else	places; org words 9.2%, people 0.0%; e.g. ['NY', 'FL', 'CA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['UNITED STATES', 'ITALY', 'UNITED ARAB EMIRATES']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	C2 name tag holds something else	places; org words 3.2%, people 0.0%; e.g. ['MELVILLE', 'DANIA', 'TALLAHASSEE']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	RECIPIENT_UEI	C2 tag fails its format	UEI: 0 of 300 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	RECIPIENT_DUNS	C2 tag fails its format	DUNS: 0 of 300 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	RECIPIENT_EIN	C2 tag fails its format	EIN: 0 of 300 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	NAICS_CODE	C2 tag fails its format	NAICS: 0 of 300 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	PLACE_OF_PERFORMANCE_FIPS	C2 tag fails its format	FIPS: 0 of 300 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API	RECIPIENT_LOCATION_FIPS	C2 tag fails its format	FIPS: 0 of 300 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_LEGALNAME	C2 name tag holds something else	single words or codes; org words 0.9%, people 0.0%; e.g. ['桂林前景建筑工程有限公司', '北京盛世仁民管理咨询有限公司', '宜品乳业（青岛）集团有限公司']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_LEGALADDRESS_POSTALCODE	C2 tag fails its format	ZIP: 0.0% of 1999 sampled values fit; e.g. ['541300', '100000', '266600']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_LEGALADDRESS_POSTALCODE	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['541300', '100000', '266600']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_HEADQUARTERSADDRESS_POSTALCODE	C2 tag fails its format	ZIP: 0.0% of 1999 sampled values fit; e.g. ['541300', '100000', '266000']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_HEADQUARTERSADDRESS_POSTALCODE	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['541300', '100000', '266000']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_1_POSTALCODE	C2 tag fails its format	ZIP: 0.0% of 81 sampled values fit; e.g. ['999077', '201203', '210061']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_1_POSTALCODE	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['999077', '201203', '210061']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_2_POSTALCODE	C2 tag fails its format	ZIP: 0.0% of 75 sampled values fit; e.g. ['999077', '201203', '266001']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_2_POSTALCODE	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['999077', '201203', '266001']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_3_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_3_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_4_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_4_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_5_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_OTHERADDRESSES_OTHERADDRESS_5_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_1_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_1_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_2_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_2_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_3_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_3_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_4_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_4_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_5_COUNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__INTL_GLEIF	ENTITY_TRANSLITERATEDOTHERADDRESSES_TRANSLITERATEDOTHERADDRESS_5_POSTALCODE	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
EDUCATION.EDUCATION__FED_CPSC_NEISS_CODES	FORMAT_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['AGELTTWO', 'ALC_DRUG', 'BDYPT']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['1', '13', '2']	moderate	retire the regex catalog; tag with the platform tagger
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	TUITION_IN_STATE	C2 tag fails its format	STATE: 0.0% of 1506 sampled values fit; e.g. ['10024', '9098', '7590']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	TUITION_IN_STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['10024', '9098', '7590']	moderate	retire the regex catalog; tag with the platform tagger
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	TUITION_OUT_OF_STATE	C2 tag fails its format	STATE: 0.0% of 1506 sampled values fit; e.g. ['18634', '22562', '7590']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	TUITION_OUT_OF_STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['18634', '22562', '7590']	moderate	retire the regex catalog; tag with the platform tagger
ENERGY.ENERGY__FED_EIA861_SALES_ULT_CUST_CS	FACILITY_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['57646', '60762', '65411']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__EPA_PENALTY_GAP	EPA_REGION	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['02', '10', '06']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__EPA_PENALTY_GAP	LAST_PENALTY_SHARED_FACILITY_N	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3013568', '1', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	STATE_CODE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['01', '02', '04']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	STATE_CODE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['01', '02', '04']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	MET_SITE_STATE_CODE	C2 tag fails its format	STATE: 0.0% of 7 sampled values fit; e.g. ['01', '04', '06']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	MET_SITE_STATE_CODE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['01', '04', '06']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	STATE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Alabama', 'Alaska', 'Arizona']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	COUNTY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Autauga', 'Baldwin', 'Barbour']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	CITY_NAME	C2 name tag holds something else	places; org words 19.2%, people 0.0%; e.g. ['Prattville', 'Not in a City', 'Not in a city']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES	CBSA_NAME	C2 name tag holds something else	places; org words 1.4%, people 61.6%; e.g. ['Montgomery, AL', 'Daphne-Fairhope-Foley, AL', 'Eufaula, AL-GA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO	EPA_REGION	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['04', '08', '02']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO	IS_MAJOR_FACILITY	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['False', 'True']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO	IS_FEDERAL_FACILITY	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['False', 'True']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO	LAST_PENALTY_SHARED_FACILITY_N	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3013568', '1', '32']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022	DOE_EIA_ORIS_PLANT_OR_FACILITY_CODE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['ORISPL', '54452', '57053']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022	PLANT_FIPS_STATE_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['FIPSST', '02', '01']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022	PLANT_FIPS_COUNTY_CODE	C2 tag fails its format	FIPS: 0.0% of 1992 sampled values fit; e.g. ['FIPSCNTY', '122', '261']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022	PLANT_FIPS_COUNTY_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['FIPSCNTY', '122', '261']	moderate	retire the regex catalog; tag with the platform tagger
ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022	PLANT_COUNTY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['CNTYNAME', 'Kenai Peninsula', 'Kusilvak']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	TABLE_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['tri.tri_facility']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	STATE_CODE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	CITY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['AGUADA', 'AGUADILLA', 'AGUAS BUENAS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	COUNTY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['AGUADA MUNICIPIO', 'AGUADILLA MUNICIPIO', 'AGUAS BUENAS MUNICIPIO']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	FRS_ID	C2 tag fails its format	FRS_ID: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	LATITUDE	C2 tag fails its format	LATLON: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS	LONGITUDE	C2 tag fails its format	LATLON: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FACILITIES	STATE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['ARKANSAS', 'WISCONSIN', 'NEW JERSEY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
